iter	RMSE
0	0.945560186
1	0.9394460092
2	0.9313439609
3	0.93062524
4	0.9306241709
5	0.9306231948
6	0.9299148438
7	0.9265211542
8	0.918619255
9	0.917370867
10	0.9173697487
11	0.9140086924
12	0.9140075099
13	0.9119015728
14	0.9088310521
15	0.9053270181
16	0.9018319372
17	0.9018313871
18	0.8981873637
19	0.8955045428
20	0.8897180041
21	0.8863145229
22	0.8826107655
23	0.8759876161
24	0.8666326956
25	0.8556386001
26	0.850925273
27	0.8509222499
28	0.8500633984
29	0.8489436276
30	0.848942076
31	0.8489406593
32	0.8489393657
33	0.8431401838
34	0.8431376753
35	0.8369351497
36	0.8321830264
37	0.8244545944
38	0.8244509865
39	0.8244476923
40	0.8161111668
41	0.8161067988
42	0.8072131672
43	0.8056741319
44	0.8039941007
45	0.8039892188
46	0.8002200087
47	0.798032267
48	0.7967366309
49	0.7895402443
50	0.7895333867
51	0.7886106867
52	0.7834783745
53	0.7812630055
54	0.7762443331
55	0.7745618424
56	0.7729685452
57	0.7722475574
58	0.7652169832
59	0.7603207893
60	0.7556793557
61	0.7509624067
62	0.7509480861
63	0.7466554526
64	0.7451647956
65	0.7431122657
66	0.7343235693
67	0.7313084107
68	0.7298080361
69	0.7257451354
70	0.7232980257
71	0.7218729819
72	0.7155991946
73	0.7114837221
74	0.7049540215
75	0.702522311
76	0.6962856708
77	0.6908488545
78	0.687171038
79	0.681336626
80	0.676138864
81	0.6717631612
82	0.6682210122
83	0.6601689474
84	0.6579147271
85	0.6557356524
86	0.6520950588
87	0.6468535663
88	0.6452515338
89	0.6408621886
90	0.6391367812
91	0.6378915091
92	0.630313114
93	0.6223322296
94	0.6170734705
95	0.6100783497
96	0.6034612702
97	0.599011987
98	0.5977222008
99	0.5935201708
100	0.5874013382
101	0.5844925675
102	0.5780287157
103	0.571715678
104	0.5670417985
105	0.5609948115
106	0.553733602
107	0.546791975
108	0.540411545
109	0.5364409054
110	0.5341530917
111	0.5309063575
112	0.525382972
113	0.5192859755
114	0.515072437
115	0.5095942268
116	0.5047397409
117	0.4981545223
118	0.4928668013
119	0.4869680181
120	0.4831591066
121	0.4780008423
122	0.4726049436
123	0.4672903545
124	0.4615756289
125	0.4586758523
126	0.45484952
127	0.4510128889
128	0.4472715846
129	0.4425872249
130	0.4382602712
131	0.4337150659
132	0.4301730228
133	0.4262943674
134	0.4219920537
135	0.4176067102
136	0.4143057288
137	0.4101960498
138	0.4069971884
139	0.402995814
140	0.3989500354
141	0.3959676576
142	0.3913627118
143	0.3875072164
144	0.3846374459
145	0.3814461488
146	0.3778048526
147	0.3747289018
148	0.3712066702
149	0.3677819092
