iter	Passed	Remaining
0	3	465
1	4	297
2	6	310
3	7	263
4	7	226
5	7	191
6	9	190
7	9	168
8	11	180
9	12	172
10	12	156
11	13	157
12	13	146
13	14	136
14	15	135
15	15	127
16	15	123
17	15	116
18	16	115
19	16	110
20	17	109
21	18	104
22	19	107
23	21	114
24	22	114
25	23	114
26	25	115
27	26	116
28	27	112
29	27	109
30	27	105
31	27	101
32	27	97
33	27	94
34	27	91
35	29	93
36	29	91
37	31	92
38	31	89
39	32	88
40	32	86
41	33	85
42	33	83
43	33	81
44	34	80
45	35	79
46	37	83
47	39	83
48	40	82
49	40	80
50	40	78
51	41	77
52	41	76
53	43	77
54	44	76
55	44	74
56	45	73
57	45	72
58	46	71
59	52	79
60	53	78
61	54	77
62	55	76
63	55	74
64	55	72
65	56	72
66	58	72
67	58	70
68	58	69
69	59	67
70	59	65
71	59	64
72	59	62
73	59	61
74	61	61
75	62	60
76	62	59
77	62	58
78	64	57
79	64	56
80	65	55
81	65	54
82	66	53
83	66	52
84	67	51
85	67	50
86	68	49
87	69	48
88	69	47
89	70	47
90	71	46
91	71	45
92	71	43
93	72	43
94	74	43
95	74	42
96	76	41
97	77	41
98	79	40
99	79	39
100	81	39
101	81	38
102	83	38
103	84	37
104	86	37
105	87	36
106	89	36
107	90	35
108	92	34
109	94	34
110	95	33
111	96	32
112	96	31
113	97	30
114	97	29
115	98	28
116	98	27
117	101	27
118	101	26
119	101	25
120	102	24
121	104	24
122	105	23
123	105	22
124	106	21
125	108	20
126	111	20
127	113	19
128	114	18
129	115	17
130	115	16
131	116	15
132	117	15
133	117	14
134	118	13
135	120	12
136	120	11
137	121	10
138	122	9
139	123	8
140	124	7
141	124	7
142	127	6
143	127	5
144	128	4
145	128	3
146	129	2
147	131	1
148	132	0
149	132	0
